2020-11-07 15:46:50|JoseQAlvarez|Jose Q. Alvarez|Ecuador|||3|0|RT @masacriticagye: 🎨🚶♀ ¡Es sábado de intervención urbana! Recuerda que aún puedes inscribirte para pintar con nosotros pasos peatonales en…
2020-11-07 15:46:45|afersin25|Angel Sinchi | Guayaquil - Ecuador|||53|0|RT @pichinchauniver: 🔴 #ATENCIÓN l Se registra un asalto a un conductor que se encontraba en el tráfico de la Av. Francisco de Orellana, a…
2020-11-07 15:46:12|katita048|KATTIA RIZOR|Guayaquil|||0|0|Cambio de look donde @gmpeluqueria_ está ubicado al término del puente que une #samborondon y #guayaquil #Sauces4 M… https://t.co/k4nM8nFaEd
2020-11-07 15:45:52|PremolServicios|PREMOL SERVICIOS INDUSTRIALES||||1|1|#premolserviciosindustriales #servicio #cortehilo #EDM #EDM #matricería  #maquinasherramientas #construccion… https://t.co/DF0Tv6vvwH
2020-11-07 15:44:39|victor_yanezxxx|victor|ECUADOR|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:42:57|MihailCJ|M C Jaya|San Francisco de Quito - Ec|||89|0|RT @oro_negro26: Los amarres de #Guayaquil, al puro estilo #Nebot 🐀 https://t.co/8dvuYGnjRS
2020-11-07 15:42:34|andreagalvezh|💖Andrea💖|Guayaquil, Ecuador|||2|0|RT @AquaExpoEC: ¡ FALTAN 17 DÍAS ! Para el evento camaronero más importante del continente #AquaExpo2020 #Guayaquil. Obtén tu pase en:…
2020-11-07 15:41:00|SusanaGmezdeAgu|SusanaGómezdeAguirre||||2|0|RT @challengye05: El circuito ATP vuelve a Latinoamérica con el XVI #ChallengerdeGuayaquil Copa @BancoGuayaquil presentado por @CNT_EC, que…
2020-11-07 15:40:28|dante19|Luis V. 🌐|América Latina|||0|0|@jaimenebotsaadi luego del discurso de @LassoGuillermo.#Ecuador #Guayaquil #COVID19 #Elecciones2021… https://t.co/uIPoexMQTw
2020-11-07 15:39:33|anpalevar1973|Antonio Leon Vargas||||57|0|RT @lahistoriaec: Nada que somos del mismo partido. La @alcaldiagye puso sellos de clausura en la tarima en donde se realizó el primer miti…
2020-11-07 15:37:55|MonicaEBuri|Mónica Estrella Buri|Guayaquil-Ecuador|||98|0|RT @eluniversocom: Municipio de #Guayaquil abrió expediente en contra del Partido Social Cristiano por realización de evento masivo ► https…
2020-11-07 15:37:46|mullercardenas|Michael|Ecuador|||0|0|#Guayaquil @CynthiaViteri6 @Malecon2000Gye @GyeTurismo @alcaldiagye @NatGeoPhotos @EcuadorTravel @FotoClubGYE… https://t.co/j42ggadkKp
2020-11-07 15:35:13|EmilioPinto|Emilio Pinto Lara|Ecuador, Quito, |||89|0|RT @oro_negro26: Los amarres de #Guayaquil, al puro estilo #Nebot 🐀 https://t.co/8dvuYGnjRS
2020-11-07 15:34:51|challengye05|Challenger de Guayaquil|Guayaquil, Ecuador|||2|2|El circuito ATP vuelve a Latinoamérica con el XVI #ChallengerdeGuayaquil Copa @BancoGuayaquil presentado por… https://t.co/ne1QkziZrw
2020-11-07 15:34:29|FaustoAlban|fausto javier alban|Quito|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:34:01|jcamposanoc|José Antonio Camposano C.|Guayaquil, Ecuador|||2|0|RT @AquaExpoEC: ¡ FALTAN 17 DÍAS ! Para el evento camaronero más importante del continente #AquaExpo2020 #Guayaquil. Obtén tu pase en:…
2020-11-07 15:33:31|ARoer66|Aaron Franco||||3|0|RT @masacriticagye: 🎨🚶♀ ¡Es sábado de intervención urbana! Recuerda que aún puedes inscribirte para pintar con nosotros pasos peatonales en…
2020-11-07 15:32:59|peteraguirre41|Peter Aguirre|Guayaquil, Ecuador|||3|0|RT @DiarioExtraEc: Restobares y licoreras de #Guayaquil afirman que tienen pérdidas en un 70 %. Experto en Economía Popular teme que sea la…
2020-11-07 15:32:39|FJ_GC|Gringo ☭|Quito, Ecuador|||11|0|RT @jonathan_parra_: Recuerdan lo que pasó con el culpable (el social cristiano Pascual del Cioppo) del derrame que dejó sin agua a #Guayaq…
2020-11-07 15:30:22|EridanyMusic|Ecuadorian Flow|Ecuador 🇪🇨|||53|0|RT @pichinchauniver: 🔴 #ATENCIÓN l Se registra un asalto a un conductor que se encontraba en el tráfico de la Av. Francisco de Orellana, a…
2020-11-07 15:30:12|karla_kathe87|Karla Elbert||||11|0|RT @jonathan_parra_: Recuerdan lo que pasó con el culpable (el social cristiano Pascual del Cioppo) del derrame que dejó sin agua a #Guayaq…
2020-11-07 15:30:00|roberwihuye|roberto huYe||||11|0|RT @jonathan_parra_: Recuerdan lo que pasó con el culpable (el social cristiano Pascual del Cioppo) del derrame que dejó sin agua a #Guayaq…
2020-11-07 15:29:45|gonzocianca|José Cianca|Guayaquil|||3|0|RT @masacriticagye: 🎨🚶♀ ¡Es sábado de intervención urbana! Recuerda que aún puedes inscribirte para pintar con nosotros pasos peatonales en…
2020-11-07 15:29:31|Benitobosque1|Bernardo Vanegas||||157|0|RT @Cupsfire_gye: ⚠️ Un asalto es captado en la Av. Francisco de Orellana a la altura de Los Rosales, norte de #Guayaquil. https://t.co/CzG…
2020-11-07 15:28:45|EdwinBuenda1|Edwin Buendía||||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:28:21|KAPCAKES|KAPCAKES|Guayaquil, Ecuador|||0|0|#kapcakesbyck #Guayaquil #ecuador #reposteria #pasteleria #cupcakes #INSUMOSREPOSTERIA #tortasdecoradas… https://t.co/jSgWT5EZyZ
2020-11-07 15:27:34|KAPCAKES|KAPCAKES|Guayaquil, Ecuador|||0|0|#kapcakesbyck #Guayaquil #ecuador #reposteria #pasteleria #cupcakes #INSUMOSREPOSTERIA #tortasdecoradas… https://t.co/CkXsJSRGVy
2020-11-07 15:26:51|fufura469|EDISON CORONEL MANC|GUAYAQUIL ECUADOR|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:26:26|ctoro1962|toro gracia carlos||||57|0|RT @lahistoriaec: Nada que somos del mismo partido. La @alcaldiagye puso sellos de clausura en la tarima en donde se realizó el primer miti…
2020-11-07 15:26:21|marthi_hidalgo|Martha Hidalgo|Machalita |||53|0|RT @pichinchauniver: 🔴 #ATENCIÓN l Se registra un asalto a un conductor que se encontraba en el tráfico de la Av. Francisco de Orellana, a…
2020-11-07 15:26:19|oswaldopenacab|Oswaldo Peñaherrera|Guayaquil, Ecuador|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:25:24|AngelAmoresEc|Angel Amores Bustos|Ambato, Ecuador|||0|0|@Don_Muchin Cuando @jaimenebotsaadi dice tragame #tierra y llama a la alcaldía de #guayaquil para que clausure el circo
2020-11-07 15:23:55|NelsonGuamnP1|Nelson Guamán P.||||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:23:35|Vincent__cr|Vincent Ricci|Ecuador|||0|0|#Guayaquil has implemented new restrictions to slow the spread of #coronavirus. The mayor said that 95% of the city… https://t.co/2WyX6r1Mka
2020-11-07 15:23:26|merymadeleine|MERIAN MONTESDEOCA||||11|0|RT @jonathan_parra_: Recuerdan lo que pasó con el culpable (el social cristiano Pascual del Cioppo) del derrame que dejó sin agua a #Guayaq…
